,detector
A-08,"[0.46159338 0.4424329  0.54868646 0.65842376 0.74377499 0.81867504
 0.87615648 0.90228441 0.85525414 0.97370074 1.02421473 1.05208452
 1.07472873 1.09563107 1.11479155 1.13569389 1.15659623 1.17227299
 1.11130782 1.12698458 1.2036265  1.21059395 1.21059395 1.20536836
 1.2036265  1.20188464 1.20711022 1.20711022 1.18620788 1.07472873
 1.18272416 1.20711022 1.20014278 1.19491719 1.18794974 1.1809823
 1.17227299 1.1670474  1.15659623 1.07995431 1.07472873 1.1444032
 1.14962878 1.14266134 1.1304683  1.11479155 1.09214734 1.07647059
 1.05731011 1.01724729 0.90054255 0.9667333  0.95628212 0.9162193
 0.86047973 0.79428898 0.7159052  0.61661907 0.49120503 0.36579098
 0.43023986]"
B-06,"[0.34612699 0.40470232 0.51830297 0.61415352 0.69580399 0.76502939
 0.82360473 0.86442996 0.83070477 0.95673049 1.00465576 1.03838096
 1.06678112 1.09163126 1.11825642 1.13778153 1.15375662 1.16263167
 1.0987313  1.11825642 1.18925682 1.19458185 1.20168189 1.19990688
 1.20345691 1.20345691 1.20700693 1.20700693 1.19103183 1.08630623
 1.18925682 1.20523192 1.19813187 1.19813187 1.19635686 1.19280684
 1.1857068  1.18393179 1.17683175 1.08985625 1.10760636 1.16085666
 1.15908165 1.14843159 1.13600652 1.12535646 1.11115638 1.0987313
 1.0809812  1.04370599 0.93365536 1.00110574 0.97803061 0.93188035
 0.87685503 0.80940464 0.71887912 0.61415352 0.46505267 0.3834022
 0.60527847]"
C-03,"[0.40315982 0.38012211 0.47995216 0.57210298 0.64889532 0.71800843
 0.78328193 0.81783848 0.79096116 0.91766853 0.97526279 1.01749858
 1.05589476 1.0866117  1.11348902 1.14420595 1.16340404 1.17876251
 1.12500787 1.12500787 1.21331907 1.22483792 1.22483792 1.22867754
 1.23251715 1.22483792 1.22483792 1.22483792 1.20947945 1.09045131
 1.20947945 1.23635677 1.23635677 1.22867754 1.2209983  1.21331907
 1.20563983 1.1979606  1.18644174 1.1096494  1.09429093 1.16724366
 1.17108328 1.16340404 1.15572481 1.13652672 1.12116825 1.10197016
 1.08277208 1.0443759  0.91766853 0.98678165 0.97910241 0.93686662
 0.87927236 0.81015925 0.72568767 0.622018   0.47995216 0.36092403
 0.4223579 ]"
C-09,"[0.25309659 0.27915065 0.35172982 0.41872597 0.48013912 0.52666423
 0.57318933 0.60482641 0.58993837 0.71648667 0.82628592 0.97516627
 1.06449448 1.11474159 1.14823967 1.17801574 1.20034779 1.21151382
 1.14265666 1.17615474 1.24873391 1.25617792 1.25989993 1.25989993
 1.26176094 1.26176094 1.26362194 1.26548295 1.24128989 1.12590762
 1.2450119  1.26920495 1.26176094 1.25803893 1.24873391 1.24315089
 1.23942889 1.23384587 1.22267985 1.13149063 1.15196168 1.21151382
 1.21523583 1.20965282 1.19848679 1.18173775 1.16312771 1.15010068
 1.13335164 1.09240954 0.96772225 1.04402343 1.0291354  0.9863323
 0.93050217 0.86350601 0.77603881 0.66996156 0.5173592  0.40011593
 0.47827811]"
C-11,"[0.38716502 0.38716502 0.48395628 0.58074753 0.65961448 0.72772685
 0.78866949 0.82093324 0.79225435 0.92130936 0.97866714 1.01451575
 1.05394922 1.07904325 1.10772214 1.13281617 1.1579102  1.17583451
 1.10413728 1.14715562 1.22243771 1.23319229 1.23677715 1.24036201
 1.24036201 1.23677715 1.24036201 1.23677715 1.21168312 1.09696756
 1.21526798 1.24036201 1.23677715 1.22960743 1.22243771 1.21526798
 1.20809826 1.20092854 1.18300423 1.08979784 1.10772214 1.16507992
 1.16866479 1.16507992 1.15432534 1.13281617 1.10772214 1.0933827
 1.07545839 1.03602492 0.92130936 0.98942172 0.97866714 0.93206394
 0.8711213  0.79942407 0.7133874  0.61301128 0.46603197 0.35490127
 0.41584391]"
D-05,"[0.49187698 0.42077972 0.52670013 0.61956186 0.7037178  0.77191313
 0.82704978 0.858971   0.81544207 0.94022502 0.99536167 1.03163578
 1.06500797 1.09112533 1.11143883 1.13175234 1.14916391 1.16367356
 1.08967437 1.10418401 1.19269285 1.19849671 1.19994767 1.2028496
 1.20139863 1.20430056 1.20430056 1.2028496  1.18543802 1.06210604
 1.16802645 1.18979092 1.18398706 1.17673224 1.17237934 1.16802645
 1.16367356 1.16367356 1.1578697  1.07806665 1.06645893 1.14481102
 1.13900716 1.13175234 1.12449751 1.11579173 1.10418401 1.09547822
 1.08677244 1.05630218 0.9329702  1.01132228 1.00261649 0.96779334
 0.91700959 0.85606908 0.77481506 0.67614947 0.52234723 0.3888585
 0.4991318 ]"
D-07,"[0.36495405 0.45148955 0.56812434 0.66970949 0.7600074  0.83149325
 0.88981065 0.91990995 0.87099858 0.99139579 1.04218837 1.06852526
 1.08921853 1.10803059 1.11931783 1.13436748 1.14565472 1.15129834
 1.09674335 1.0816937  1.17387282 1.18704126 1.18704126 1.18704126
 1.18704126 1.18516006 1.18704126 1.18516006 1.16446679 1.0515944
 1.14941713 1.18327885 1.18139764 1.17951644 1.17387282 1.1682292
 1.16446679 1.15506075 1.14565472 1.0816937  1.05911923 1.13248628
 1.1381299  1.13248628 1.12119904 1.10614939 1.09486215 1.08357491
 1.07228767 1.04030716 0.92179116 0.993277   0.98951459 0.95189046
 0.90297909 0.83901807 0.7581262  0.66406587 0.5248566  0.38940973
 0.45148955]"
E-02,"[0.37703607 0.39034322 0.48349331 0.5766434  0.64761489 0.71858639
 0.77181501 0.80286504 0.78512216 0.90932228 0.97142234 1.02021524
 1.05570099 1.09562245 1.12667248 1.15328679 1.17546539 1.18433682
 1.10892961 1.16215823 1.22425829 1.23312973 1.23756545 1.23756545
 1.23312973 1.23312973 1.23312973 1.23312973 1.20651542 1.10449389
 1.21982257 1.23312973 1.22425829 1.21538685 1.2020797  1.19764398
 1.19320826 1.18877254 1.17546539 1.08675102 1.11336533 1.16659395
 1.16215823 1.15328679 1.13997964 1.12223677 1.10449389 1.09118674
 1.07787958 1.0335224  0.92262944 0.99360093 0.98029378 0.93593659
 0.87827225 0.81617219 0.73189354 0.62987202 0.48349331 0.38147179
 0.45244328]"
E-10,"[0.49965673 0.43322838 0.53287091 0.63106934 0.71049454 0.77981108
 0.83468668 0.86790085 0.82313392 0.94877015 1.00364575 1.03830402
 1.06285363 1.09029142 1.11484103 1.13361426 1.15238749 1.16538434
 1.09462371 1.10617646 1.19715442 1.2029308  1.2029308  1.2043749
 1.20581899 1.2043749  1.20581899 1.2043749  1.18415757 1.06285363
 1.17116072 1.18848986 1.17982529 1.17116072 1.16105206 1.15527568
 1.15383159 1.15383159 1.1494993  1.07585048 1.06574181 1.13939064
 1.13794654 1.13072607 1.1220615  1.11195284 1.09895599 1.09029142
 1.07873867 1.04696859 0.92710873 1.00797803 0.99931346 0.96032291
 0.91266779 0.85057172 0.77403471 0.67150399 0.52276225 0.38846145
 0.50398902]"
F-05,"[0.51565525 0.48252656 0.59631641 0.70866588 0.79364817 0.86566706
 0.92040142 0.94344746 0.88727273 1.01114522 1.0514758  1.07308146
 1.090366   1.10621015 1.12061393 1.13501771 1.14510035 1.15230224
 1.08892562 1.090366   1.17102715 1.1811098  1.18399055 1.1811098
 1.18399055 1.17966942 1.17822904 1.17390791 1.15374262 1.04283353
 1.14510035 1.16670602 1.16382527 1.155183   1.14798111 1.13933884
 1.13501771 1.13213695 1.12349469 1.05435655 1.04571429 1.11773318
 1.12205431 1.11485242 1.10476978 1.09324675 1.08316411 1.07308146
 1.0644392  1.03131051 0.91608028 0.98809917 0.98233766 0.94344746
 0.89447462 0.83253837 0.75763872 0.66401417 0.52285714 0.40042503
 0.47676505]"
