,BOC,MOC,EOC
A08,6.986535291750671,3.092253115689123,3.335920930156907
B06,6.6219172014370775,3.286867949069906,3.1149571334223465
C03,6.060252068679306,3.306830701598263,3.56460972041831
C09,8.06175090990389,2.674602229004083,2.396110033954332
C11,6.044047458828281,3.6500206261792436,4.028604842711936
D05,7.815334973601801,2.581390804555471,2.859696627536339
D07,7.69501785219326,2.4232481934810393,2.8084919302225475
E02,6.198671265984889,3.4013875257369826,3.7011688854265024
E10,6.845810692520705,2.4379203080448515,2.643688424369253
F05,8.112815820907247,2.608800958272705,2.7277754819781608
F08,9.661156305024308,2.9761071207590954,2.716610775011658
F12,6.958692171272505,3.3337077791501413,3.3050901916656
G02,6.332025267894287,3.152260232915292,3.28513106781973
G04,8.013045353101047,2.8013098672137295,2.6907398530505624
G06,9.115171265390595,2.5261001244415033,2.791401986513713
G11,6.333735613989664,3.098842616908601,3.1438164449162675
G13,6.065786453358489,3.3061884202571967,3.6669862212778432
H03,6.872500015957526,3.0704127993749957,3.409975943793581
H08,9.159271911084343,2.948869878128444,2.61241580404413
H10,8.833355426471126,2.5938894364227942,2.4037623461808186
I05,8.140100502588163,2.355101918952139,2.5407393499728834
I07,9.275768750361408,2.26682167346309,2.4148331956768536
J03,6.535711322609251,2.8857174371231324,2.609038734237025
J08,8.902030314888709,2.5382891764152204,2.08442031866663
J10,6.516865689409711,3.215736157891142,3.3377324606580956
J12,6.503067976067222,3.127374200899391,3.3635998982382316
K07,6.662287570308567,2.8178958776950362,3.046330038964925
L04,6.660559667015588,3.487969659339034,3.763530683167543
L09,5.8290012101263775,3.3618218646891584,3.6441350550530567
M07,6.327232612511957,3.5143320938979383,3.7560453987358144
